"INSTITUT_A";"PERSONEN_NUMMER_A";"INSTITUT_B";"PERSONEN_NUMMER_B"
"004";"1051";"DHB";"1000280018"
"007";"555239";"009";"1000"
"009";"31632";"DHB";"1000205017"
"009";"2135";"DHB";"1000210019"
"009";"31873";"DHB";"1000239014"
"004";"91532";"DHB";"1000201011"
"009";"1155";"DHB";"1000280018"
"009";"1103";"DHB";"1000280018"
"LUX";"1124891";"DHB";"1000280018"
"004";"1314";"DHB";"1000201011"
"009";"22250";"DHB";"1000228018"
"009";"8493738";"DHB";"1000201011"
"009";"8214749";"DHB";"1000278013"
"004";"70390";"DHB";"1000283015"
"009";"649";"DHB";"1000280018"
"009";"31518";"DHB";"1000246014"
"009";"1355";"DHB";"1000280018"
"LUX";"1039223";"DHB";"1000201011"
"009";"1273";"DHB";"1000280018"
"009";"31628";"DHB";"1000227019"
"009";"8403675";"DHB";"1000280018"
"009";"1235";"DHB";"1000219010"
"009";"73189";"DHB";"1000280018"
"009";"1222";"DHB";"1000280018"
"009";"1446";"DHB";"1000280018"
"009";"31619";"DHB";"1000223013"
"009";"7709718";"DHB";"1000347016"
"009";"31680";"DHB";"1000247013"
"009";"7526222";"DHB";"1000293012"
"LUX";"1002494";"DHB";"1000347016"
"009";"8519377";"DHB";"1000280018"
"009";"31383";"DHB";"1000272019"
"009";"760";"DHB";"1000280018"
"009";"31112";"DHB";"1000226010"
"009";"7940414";"DHB";"1000347016"
"009";"31142";"DHB";"1000277014"
"LUX";"1031371";"DHB";"1000306019"
"009";"523660";"DHB";"1000232011"
"LUX";"1015138";"DHB";"1000347016"
"009";"8274384";"DHB";"1000282016"
"009";"8082746";"DHB";"1000280018"
"009";"31376";"DHB";"1000265019"
"004";"93";"DHB";"1000347016"
"LUX";"1011051";"DHB";"1000280018"
"004";"1388";"DHB";"1000306019"
"007";"19005";"DHB";"1000347016"
"004";"7048714";"DHB";"1000347016"
"009";"31493";"DHB";"1000275016"
"009";"36653";"DHB";"1000304011"
"009";"31456";"DHB";"1000241019"
"004";"97668";"DHB";"1000347016"
"LUX";"1002061";"DHB";"1000280018"
"LUX";"1059666";"DHB";"1000347016"
"009";"7215414";"DHB";"1000233010"
"009";"7709717";"DHB";"1000347016"
"009";"5903";"DHB";"1000283015"
"004";"1372";"DHB";"1000347016"
"009";"7573386";"DHB";"1000280018"
"009";"703";"DHB";"1000369018"
"LUX";"1115779";"DHB";"1000280018"
"009";"1537";"DHB";"1000369018"
"004";"7091269";"DHB";"1000347016"
"009";"8458418";"DHB";"1000347016"
"004";"1153";"DHB";"1000280018"
"004";"45";"DHB";"1000347016"
"009";"7679121";"DHB";"1000349014"
"004";"92";"DHB";"1000371013"
"009";"1105";"DHB";"1000280018"
"009";"73335";"DHB";"1000369018"
"009";"31340";"DHB";"1000251016"
"004";"11477";"DHB";"1000369018"
"004";"41";"DHB";"1000347016"
"004";"88";"DHB";"1000347016"
"009";"7719334";"DHB";"1000280018"
"009";"8014235";"DHB";"1000485019"
"009";"841";"DHB";"1000280018"
"009";"7549393";"DHB";"1000369018"
"009";"7944359";"DHB";"1000347016"
"009";"1467";"DHB";"1000369018"
"007";"19142";"DHB";"1000280018"
"009";"568001";"DHB";"1000356014"
"LUX";"1052131";"DHB";"1000369018"
"009";"81025";"DHB";"1000536016"
"009";"1489";"DHB";"1000280018"
"LUX";"1032083";"DHB";"1000371013"
"009";"7718293";"DHB";"1000280018"
"007";"728866";"DHB";"1000485019"
"009";"565507";"DHB";"1000347016"
"009";"8578168";"DHB";"1000370014"
"009";"8676392";"DHB";"1000280018"
"009";"565507";"DHB";"1000630015"
"009";"1043";"DHB";"1000347016"
"009";"8079936";"DHB";"1000371013"
"004";"89";"DHB";"1000347016"
"009";"1200";"DHB";"1000526019"
"004";"15";"DHB";"1000347016"
"009";"8379552";"DHB";"1000422010"
"009";"638";"DHB";"1000369018"
"009";"1050";"DHB";"1000665011"
"009";"7611884";"DHB";"1000280018"
"004";"1022";"DHB";"1000526019"
"004";"71046";"DHB";"1000283015"
"009";"8465200";"DHB";"1000535017"
"009";"7878698";"DHB";"1000347016"
"009";"1218";"DHB";"1000479018"
"009";"31724";"DHB";"1000294011"
"LUX";"1016304";"DHB";"1000686014"
"009";"21392";"DHB";"1000347016"
"009";"7743188";"DHB";"1000575015"
"009";"31895";"DHB";"1000358012"
"009";"7741548";"DHB";"1000536016"
"004";"46";"DHB";"1000347016"
"009";"1618";"DHB";"1000536016"
"LUX";"1007062";"DHB";"1000370014"
"009";"80081055";"LUX";"1001579"
"009";"8366223";"DHB";"1000325014"
"009";"8458035";"DHB";"1000593011"
"009";"80133329";"DHB";"1000302013"
"009";"80054078";"DHB";"1000536016"
"009";"1676";"DHB";"1000369018"
"009";"8591111";"DHB";"1000553013"
"009";"31589";"DHB";"1000310012"
"007";"19072";"004";"1002"
"004";"44";"DHB";"1000347016"
"009";"8303188";"DHB";"1000686014"
"009";"1112";"DHB";"1000369018"
"009";"548142";"DHB";"1000605019"
"009";"1277";"DHB";"1000369018"
"009";"32336";"DHB";"1000555011"
"009";"7732992";"DHB";"1000398010"
"009";"8369172";"004";"1002"
"009";"31749";"DHB";"1000329010"
"009";"7585674";"DHB";"1000906017"
"009";"1203";"DHB";"1000306019"
"009";"80127437";"DHB";"1000630015"
"009";"8241872";"DHB";"1000371013"
"009";"8068322";"DHB";"1000598016"
"009";"80127437";"DHB";"1000347016"
"009";"7573386";"LUX";"1002061"
"004";"97401";"DHB";"1000347016"
"004";"1359";"004";"1002"
"009";"601";"DHB";"1000369018"
"009";"1503";"DHB";"1000906017"
"009";"1571";"DHB";"1000369018"
"004";"7091269";"DHB";"1000630015"
"LUX";"1082609";"DHB";"1000686014"
"009";"7719334";"LUX";"1002061"
"009";"1044";"DHB";"1000347016"
"009";"8368975";"004";"1002"
"004";"20";"DHB";"1000347016"
"009";"80052804";"LUX";"1001587"
"009";"8339076";"DHB";"1000371013"
"009";"30844";"DHB";"1000649013"
"009";"7502440";"DHB";"1000357013"
"009";"8403675";"LUX";"1002061"
"LUX";"1025257";"DHB";"1000369018"
"009";"1628";"LUX";"1002010"
"007";"608762";"DHB";"1000369018"
"009";"8081188";"LUX";"1001838"
"009";"8245803";"DHB";"1000369018"
"004";"98397";"DHB";"1000665011"
"009";"73282";"DHB";"1000906017"
"009";"8676392";"LUX";"1002061"
"009";"1725";"DHB";"1000347016"
"009";"1105";"LUX";"1002061"
"009";"594162";"DHB";"1000369018"
"009";"1222";"LUX";"1002061"
"009";"581018";"DHB";"1000412013"
"LUX";"1005922";"DHB";"1000686014"
"009";"8635354";"DHB";"1000405013"
"004";"93";"LUX";"1002494"
"004";"1137";"DHB";"1000369018"
"009";"7718293";"LUX";"1002061"
"004";"1384";"DHB";"1000370014"
"009";"1446";"LUX";"1002061"
"LUX";"1050049";"DHB";"1000479018"
"009";"8267462";"DHB";"1000686014"
"DHB";"1032907015";"004";"1002"
"LUX";"1037867";"LUX";"1003717"
"009";"7709720";"DHB";"1000347016"
"009";"1725";"LUX";"1002494"
"DHB";"1000417025";"DHB";"1000417018"
"009";"8082746";"LUX";"1002061"
"LUX";"1040663";"DHB";"1000485019"
"009";"913";"DHB";"1000686014"
"009";"31500";"DHB";"1000449017"
"009";"8369322";"LUX";"1003717"
"009";"73132";"DHB";"1000369018"
"009";"565507";"LUX";"1002494"
"007";"560214";"DHB";"1000371013"
"009";"8592611";"LUX";"1002478"
"009";"524104";"DHB";"1000531011"
"009";"73156";"DHB";"1000906017"
"LUX";"1037867";"004";"1002"
"009";"80025229";"LUX";"1004225"
"009";"1153";"DHB";"1000369018"
"004";"97668";"LUX";"1002494"
"009";"8454430";"DHB";"1000481013"
"LUX";"1015138";"LUX";"1002494"